Tanggal;Harga
13/02/2019;129450
14/02/2019;129200
15/02/2019;129200
18/02/2019;129200
19/02/2019;129150
20/02/2019;124350
21/02/2019;129150
22/02/2019;129150
25/02/2019;129050
26/02/2019;129150
27/02/2019;129050
28/02/2019;129050
01/03/2019;129150
04/03/2019;129050
05/03/2019;129000
06/03/2019;129150
07/03/2019;128750
08/03/2019;122650
11/03/2019;129600
12/03/2019;130200
13/03/2019;129550
14/03/2019;129050
15/03/2019;129150
18/03/2019;129300
19/03/2019;129300
20/03/2019;129400
21/03/2019;129400
22/03/2019;116400
25/03/2019;129300
26/03/2019;129250
27/03/2019;129300
28/03/2019;129400
29/03/2019;129400
01/04/2019;129200
02/04/2019;129300
03/04/2019;130000
04/04/2019;129200
05/04/2019;129800
08/04/2019;129300
09/04/2019;129750
10/04/2019;129800
11/04/2019;129800
12/04/2019;129700
15/04/2019;129700
16/04/2019;129050
17/04/2019;128150
18/04/2019;129150
19/04/2019;128350
22/04/2019;129850
23/04/2019;130550
24/04/2019;130550
25/04/2019;130650
26/04/2019;131250
29/04/2019;115400
30/04/2019;130000
01/05/2019;128250
02/05/2019;123900
03/05/2019;130400
06/05/2019;132350
07/05/2019;132350
08/05/2019;132450
09/05/2019;132550
10/05/2019;132650
13/05/2019;132700
14/05/2019;132100
15/05/2019;132150
16/05/2019;131400
17/05/2019;132000
20/05/2019;131800
21/05/2019;132650
22/05/2019;132900
23/05/2019;132900
24/05/2019;132400
27/05/2019;132750
28/05/2019;133200
29/05/2019;133100
30/05/2019;130000
31/05/2019;136200
03/06/2019;138500
04/06/2019;140650
05/06/2019;
06/06/2019;
07/06/2019;137500
10/06/2019;133250
11/06/2019;133450
12/06/2019;133150
13/06/2019;130800
14/06/2019;116850
17/06/2019;130400
18/06/2019;126000
19/06/2019;130350
20/06/2019;130350
21/06/2019;130350
24/06/2019;130350
25/06/2019;130350
26/06/2019;130350
27/06/2019;117350
28/06/2019;130350
01/07/2019;130300
02/07/2019;130300
03/07/2019;130300
04/07/2019;130350
05/07/2019;130600
08/07/2019;130950
09/07/2019;130650
10/07/2019;130550
11/07/2019;130650
12/07/2019;130400
15/07/2019;117650
16/07/2019;131050
17/07/2019;130650
18/07/2019;130750
19/07/2019;116850
22/07/2019;130750
23/07/2019;130700
24/07/2019;130600
25/07/2019;130700
26/07/2019;130600
29/07/2019;130650
30/07/2019;130550
31/07/2019;130650
01/08/2019;117700
02/08/2019;131400
05/08/2019;130750
06/08/2019;130750
07/08/2019;131400
08/08/2019;131500
09/08/2019;132350
12/08/2019;130900
13/08/2019;130450
14/08/2019;130650
15/08/2019;117750
16/08/2019;131500
19/08/2019;131750
20/08/2019;124000
21/08/2019;131200
22/08/2019;116600
23/08/2019;131300
26/08/2019;131650
27/08/2019;117000
28/08/2019;131400
29/08/2019;130550
30/08/2019;131200
02/09/2019;117200
03/09/2019;130300
04/09/2019;130350
05/09/2019;130400
06/09/2019;130400
09/09/2019;131400
10/09/2019;131350
11/09/2019;131600
12/09/2019;131400
13/09/2019;132150
16/09/2019;131750
17/09/2019;131450
18/09/2019;131450
19/09/2019;132600
20/09/2019;132250
23/09/2019;133550
24/09/2019;133300
25/09/2019;132900
26/09/2019;133000
27/09/2019;132900
30/09/2019;132500
01/10/2019;132500
02/10/2019;132950
03/10/2019;132950
04/10/2019;132850
07/10/2019;132900
08/10/2019;132800
09/10/2019;132750
10/10/2019;132200
11/10/2019;112850
14/10/2019;132250
15/10/2019;132250
16/10/2019;132900
17/10/2019;132900
18/10/2019;133000
21/10/2019;132000
22/10/2019;132000
23/10/2019;132000
24/10/2019;132050
25/10/2019;132000
28/10/2019;131900
29/10/2019;131900
30/10/2019;131500
31/10/2019;131550
01/11/2019;131900
04/11/2019;131900
05/11/2019;131950
06/11/2019;131900
07/11/2019;131950
08/11/2019;131950
11/11/2019;131950
12/11/2019;132000
13/11/2019;131650
14/11/2019;131900
15/11/2019;131750
18/11/2019;131800
19/11/2019;131600
20/11/2019;131750
21/11/2019;131850
22/11/2019;118050
25/11/2019;131600
26/11/2019;131650
27/11/2019;131700
28/11/2019;131950
29/11/2019;132000
02/12/2019;131950
03/12/2019;132000
04/12/2019;132000
05/12/2019;132300
06/12/2019;132000
09/12/2019;132000
10/12/2019;132100
11/12/2019;132100
12/12/2019;131950
13/12/2019;131450
16/12/2019;132250
17/12/2019;132300
18/12/2019;132300
19/12/2019;132250
20/12/2019;131800
23/12/2019;133200
24/12/2019;132500
25/12/2019;131900
26/12/2019;133700
27/12/2019;133650
30/12/2019;132400
31/12/2019;132400
01/01/2020;130000
02/01/2020;130800
03/01/2020;130750
06/01/2020;126450
07/01/2020;130850
08/01/2020;130600
09/01/2020;130750
10/01/2020;130700
13/01/2020;130800
14/01/2020;131100
15/01/2020;130750
16/01/2020;130850
17/01/2020;130750
20/01/2020;130700
21/01/2020;130750
22/01/2020;130750
23/01/2020;131000
24/01/2020;130950
27/01/2020;130900
28/01/2020;130900
29/01/2020;130950
30/01/2020;130900
31/01/2020;131650
03/02/2020;131600
04/02/2020;131600
05/02/2020;131600
06/02/2020;131600
07/02/2020;131600
10/02/2020;131600
11/02/2020;131600
12/02/2020;131600
13/02/2020;131550
14/02/2020;131550
17/02/2020;131600
18/02/2020;131600
19/02/2020;131500
20/02/2020;131500
21/02/2020;131500
24/02/2020;131600
25/02/2020;131200
26/02/2020;131200
27/02/2020;131200
28/02/2020;131200
02/03/2020;131600
03/03/2020;131600
04/03/2020;131600
05/03/2020;131650
06/03/2020;131650
09/03/2020;131600
10/03/2020;131600
11/03/2020;131600
12/03/2020;131550
13/03/2020;131550
16/03/2020;131650
17/03/2020;131600
18/03/2020;131600
19/03/2020;131750
20/03/2020;131600
23/03/2020;132500
24/03/2020;132850
25/03/2020;133000
26/03/2020;132450
27/03/2020;132400
30/03/2020;131950
31/03/2020;131950
01/04/2020;131500
02/04/2020;131600
03/04/2020;131600
06/04/2020;131400
07/04/2020;131400
08/04/2020;131400
09/04/2020;131400
10/04/2020;131950
13/04/2020;131400
14/04/2020;131400
15/04/2020;130850
16/04/2020;130950
17/04/2020;130850
20/04/2020;131050
21/04/2020;131000
22/04/2020;130850
23/04/2020;130800
24/04/2020;130800
27/04/2020;130800
28/04/2020;131050
29/04/2020;131650
30/04/2020;131950
01/05/2020;132250
04/05/2020;131950
05/05/2020;131950
06/05/2020;127100
07/05/2020;131900
08/05/2020;131450
11/05/2020;132550
12/05/2020;132600
13/05/2020;132550
14/05/2020;132550
15/05/2020;132550
18/05/2020;136450
19/05/2020;137450
20/05/2020;138200
21/05/2020;138250
22/05/2020;143400
25/05/2020;
26/05/2020;136450
27/05/2020;136450
28/05/2020;135200
29/05/2020;134800
01/06/2020;132000
02/06/2020;133350
03/06/2020;133300
04/06/2020;133300
05/06/2020;133200
08/06/2020;133350
09/06/2020;133350
10/06/2020;126900
11/06/2020;133400
12/06/2020;133350
15/06/2020;133300
16/06/2020;133300
17/06/2020;133300
18/06/2020;132350
19/06/2020;132300
22/06/2020;132300
23/06/2020;132100
24/06/2020;132000
25/06/2020;131650
26/06/2020;131000
29/06/2020;131650
30/06/2020;132050
01/07/2020;131650
02/07/2020;131650
03/07/2020;132200
06/07/2020;131550
07/07/2020;132100
08/07/2020;131750
09/07/2020;131750
10/07/2020;131750
13/07/2020;131800
14/07/2020;132150
15/07/2020;131800
16/07/2020;131800
17/07/2020;131800
20/07/2020;131800
21/07/2020;131600
22/07/2020;131600
23/07/2020;132250
24/07/2020;131850
27/07/2020;132000
28/07/2020;132250
29/07/2020;133450
30/07/2020;134800
31/07/2020;
03/08/2020;133750
04/08/2020;128250
05/08/2020;132850
06/08/2020;132500
07/08/2020;133750
10/08/2020;132500
11/08/2020;131950
12/08/2020;132300
13/08/2020;133100
14/08/2020;133150
17/08/2020;129500
18/08/2020;132350
19/08/2020;131950
20/08/2020;127250
21/08/2020;129650
24/08/2020;132350
25/08/2020;132000
26/08/2020;126750
27/08/2020;132000
28/08/2020;132000
31/08/2020;132150
01/09/2020;132300
02/09/2020;131950
03/09/2020;131750
04/09/2020;131750
07/09/2020;132050
08/09/2020;131950
09/09/2020;130950
10/09/2020;131050
11/09/2020;131050
14/09/2020;131750
